objectid,title,creator,date,description,subject,location,latitude,longitude,source,display_template,type,format,language,rights,rightsstatement,filename,identifier,object_location,image_small,image_thumb
col008_mp_11,Police Commissioner-Wayne Skiver,Horton Studio,1963,"Police Commissioner-Wayne Skiver, circa 1964",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_011.jpg,col008_meridianpolice_011,objects/col008_meridianpolice_011.jpg,objects/small/col008_meridianpolice_011_sm.jpg,objects/thumbs/col008_meridianpolice_011_th.jpg
col008_mp_12,Meridian Police and City Officials,Gem State Peace Officer Magazine,1957,"First Row, left to right: Steve J. McGill (Meridian Chief of Police), Gene D. Hiner (officer); Second Row, Left to Right: Herald J. Cox (Meridian City Clerk), Don M. Storey (Mayor), Dean Mayes (Police Commissioner)",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_012.jpg,col008_meridianpolice_012,objects/col008_meridianpolice_012.jpg,objects/small/col008_meridianpolice_012_sm.jpg,objects/thumbs/col008_meridianpolice_012_th.jpg
col008_mp_13,Deputy Sheriff Gene Hiner and Officer,Gene Hiner Family,1959,Deputy Sheriff Gene Hiner and Officer,Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_013.jpg,col008_meridianpolice_013,objects/col008_meridianpolice_013.jpg,objects/small/col008_meridianpolice_013_sm.jpg,objects/thumbs/col008_meridianpolice_013_th.jpg
col008_mp_14,Deputy Sheriff Gene Hiner and Officer,Gene Hiner Family,1959,Deputy Sheriff Gene Hiner and Officer,Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_014.jpg,col008_meridianpolice_014,objects/col008_meridianpolice_014.jpg,objects/small/col008_meridianpolice_014_sm.jpg,objects/thumbs/col008_meridianpolice_014_th.jpg
col008_mp_15,Two Officers from Sheriff's Office,Gene Hiner Family,1959,Two Officers from Sheriff's Office,Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_015.jpg,col008_meridianpolice_015,objects/col008_meridianpolice_015.jpg,objects/small/col008_meridianpolice_015_sm.jpg,objects/thumbs/col008_meridianpolice_015_th.jpg
col008_mp_16,Gene Hiner Examines Evidence,Meridian Police,1965-10-20,"Gene Hiner examines tools taken from Richard Potter, a burglary suspect, October 20, 1965",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_016.jpg,col008_meridianpolice_016,objects/col008_meridianpolice_016.jpg,objects/small/col008_meridianpolice_016_sm.jpg,objects/thumbs/col008_meridianpolice_016_th.jpg
col008_mp_17,Auxiliary Police of Meridian-1964,Meridian Times,1964-04-02,"Meridian Auxiliary Police, from left to right: Kenneth Smith, Roy Wood, Jonas Lee, Bill Luke, Lowell Gass, Neil Hudson, Ted Dennis",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_017.jpg,col008_meridianpolice_017,objects/col008_meridianpolice_017.jpg,objects/small/col008_meridianpolice_017_sm.jpg,objects/thumbs/col008_meridianpolice_017_th.jpg
col008_mp_18,"Police Chief Hiner, Officer Stuart, and Evidence ",Horton Studio,1964-04-30,"Police Chief Gene Hiner and Officer Charles Stuart show stolen money (cash, coins and deposit sack) taken from the Palamino Cafe in Ontario. Suspect was Edward Killingsworth. Money apprehended totaled $1,201.85. ",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_018.jpg,col008_meridianpolice_018,objects/col008_meridianpolice_018.jpg,objects/small/col008_meridianpolice_018_sm.jpg,objects/thumbs/col008_meridianpolice_018_th.jpg
col008_mp_19,Meridian Police and Meridian Officials,Horton Studio,1965,"Top left to right: Chief Gene Hiner, Patrolman Richard Brumble, Senior Patrolman Charles Stuart; Bottom left to right: Herald Cox (city clerk), Don Storey (mayor), Wayne Skiver (Police Commissioner); circa 1965",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_019.jpg,col008_meridianpolice_019,objects/col008_meridianpolice_019.jpg,objects/small/col008_meridianpolice_019_sm.jpg,objects/thumbs/col008_meridianpolice_019_th.jpg
col008_mp_20,Police and City Officials Grow Beards for Dairy Days,unknown,1958,"Police and city officials grow beards for Meridian Dairy Days; Back row left to right: Gene Hiner, Steve McGill, Herald Cox, Grant Ambrose, Roger Welker, Orville Vincent; Front row left to right: Terry McGoldrick, Dean Mayes, Don Storey, Bill Brown, Ray Pitman",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_020.jpg,col008_meridianpolice_020,objects/col008_meridianpolice_020.jpg,objects/small/col008_meridianpolice_020_sm.jpg,objects/thumbs/col008_meridianpolice_020_th.jpg
col008_mp_21,Hunting Trip-1963,Gene Hiner Family,1963,"Mayor Don Storey, Gene Hiner, and others go on hunting trip; From left to right: undocumented individual, Storey, Hiner, Brooks, Deerer",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_021.jpg,col008_meridianpolice_021,objects/col008_meridianpolice_021.jpg,objects/small/col008_meridianpolice_021_sm.jpg,objects/thumbs/col008_meridianpolice_021_th.jpg
col008_mp_22,Meridian Police-December 1964,Horton Studio,1964-12,"Meridian Auxiliary Police were praised by the city for their outstanding service at community events and the Meridian Times used this photo shoot; Left to right: Gene Hiner (police chief), Kenneth Smith, Neal Hudson, Robert Metich, Don Sneddon, Lowell Gass, Wally Everist, Ted Dennis, Roy Wood, Wayne Skiver (Police Commissioner)",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_022.jpg,col008_meridianpolice_022,objects/col008_meridianpolice_022.jpg,objects/small/col008_meridianpolice_022_sm.jpg,objects/thumbs/col008_meridianpolice_022_th.jpg
col008_mp_23,Officer Brumble with Sabrina,Meridian Police,1968,"Meridian officer Dick Brumble with Sabrina, the new police dog.",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_023.jpg,col008_meridianpolice_023,objects/col008_meridianpolice_023.jpg,objects/small/col008_meridianpolice_023_sm.jpg,objects/thumbs/col008_meridianpolice_023_th.jpg
col008_mp_24,Meridian & Boise Police Promote Bike Safety,Horton Studio,1968-07,"July 1968-The Idaho State Police and local authorities promote luminous safety tape for bicycles; Rayme Wilmot of Meridian is the child in front, in back (from left to right) are Gene Hiner, Carl Burt (Driver Improvement Division), and Bob Moran (safety official for Boise Police)",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_024.jpg,col008_meridianpolice_024,objects/col008_meridianpolice_024.jpg,objects/small/col008_meridianpolice_024_sm.jpg,objects/thumbs/col008_meridianpolice_024_th.jpg
col008_mp_25,Police Promote Bike Safety (Staged Photo),Horton Studio,1968,"As part of of Idaho State Police and local authorities push for bike safety, this staged photo was taken",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_025.jpg,col008_meridianpolice_025,objects/col008_meridianpolice_025.jpg,objects/small/col008_meridianpolice_025_sm.jpg,objects/thumbs/col008_meridianpolice_025_th.jpg
col008_mp_26,Gene Hiner Catches Robbers and Evidence,Meridian Police,1966-05-06,"Gene Hiner caught the items several youth stole (copper tubing, a box of tools, a spare tire, a transistor radio, and a tape recorder).",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_026.jpg,col008_meridianpolice_026,objects/col008_meridianpolice_026.jpg,objects/small/col008_meridianpolice_026_sm.jpg,objects/thumbs/col008_meridianpolice_026_th.jpg
col008_mp_27,Police Chief Gene Hiner,Meridian Times,1967-11-15,"Police Chief Hiner on the job, the photo appeared in the Meridian Times and the Idaho Free Press & News-Tribune",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_027.jpg,col008_meridianpolice_027,objects/col008_meridianpolice_027.jpg,objects/small/col008_meridianpolice_027_sm.jpg,objects/thumbs/col008_meridianpolice_027_th.jpg
col008_mp_28,Meridian Police Dogs,Creason/Meridian Times,1968,"Picture of Meridian police dogs (a rottweiler and a German shepherd) with (from left to right): Richard Brumble, Police Chief Gene Hiner, and Alex Winn",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_028.jpg,col008_meridianpolice_028,objects/col008_meridianpolice_028.jpg,objects/small/col008_meridianpolice_028_sm.jpg,objects/thumbs/col008_meridianpolice_028_th.jpg
col008_mp_29,Meridian Grade School Bike Safety Course,Meridian Times,1966-05,"Police Chief Gene Hiner leads bicycle training course at Meridian grade school. Upon completing course, children issued bicycle safety certificates signed by Hiner and school principal Obed Dahl",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_029.jpg,col008_meridianpolice_029,objects/col008_meridianpolice_029.jpg,objects/small/col008_meridianpolice_029_sm.jpg,objects/thumbs/col008_meridianpolice_029_th.jpg
col008_mp_30,Meridian Grade School Bike Safety Course,Meridian Times,1966-05,"Police Chief Gene Hiner leads bicycle training course at Meridian grade school. Upon completing course, children issued bicycle safety certificates signed by Hiner and school principal Obed Dahl",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_030.jpg,col008_meridianpolice_030,objects/col008_meridianpolice_030.jpg,objects/small/col008_meridianpolice_030_sm.jpg,objects/thumbs/col008_meridianpolice_030_th.jpg
col008_mp_31,Evidence in Drug Case,Meridian Police,1970,"Circa 1970, Gene Hiner examines evidence in a drug case (bag in right hand contains marijuana)",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_031.jpg,col008_meridianpolice_031,objects/col008_meridianpolice_031.jpg,objects/small/col008_meridianpolice_031_sm.jpg,objects/thumbs/col008_meridianpolice_031_th.jpg
col008_mp_32,Evidence in Drug Case,Meridian Police,1970,"Circa 1970, Gene Hiner examines evidence in a drug case (bag in right hand contains marijuana)",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_032.jpg,col008_meridianpolice_032,objects/col008_meridianpolice_032.jpg,objects/small/col008_meridianpolice_032_sm.jpg,objects/thumbs/col008_meridianpolice_032_th.jpg
col008_mp_33,Meridian Auxiliary Police,Bill Allen,1963,"Members of the Meridian Auxiliary Police seated (left to right) are Bill Luke, Lowell Cass, Jonas Lee. Standing: Neal Hudson, Wayne Lant, Roy Wood, Ted Dennis, and Kenny Smith. ",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_033.jpg,col008_meridianpolice_033,objects/col008_meridianpolice_033.jpg,objects/small/col008_meridianpolice_033_sm.jpg,objects/thumbs/col008_meridianpolice_033_th.jpg
col008_mp_34,Meridian Auxiliary Officers,Meridian Police,1964-04-02,"Left to right: Kenneth Smith, Roy Wood, Jonas Lee, Bill Luke, Lowell Gass, Neal Hudson, Ted Dennis ",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_034.jpg,col008_meridianpolice_034,objects/col008_meridianpolice_034.jpg,objects/small/col008_meridianpolice_034_sm.jpg,objects/thumbs/col008_meridianpolice_034_th.jpg
col008_mp_35,Safety Driver of the Month,Horton Studio/Meridian Times,1969-02,"Chris Amidon, Meridian High School Student, is first young driver to be selected by Police Chief Hiner for the Optimist Club ""Safety Driver of the Month."" From left to month: Babe Anduiza (Optimist Club President), Mayor Don Storey, Chris Amidon, Gene Hiner ",Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_035.jpg,col008_meridianpolice_035,objects/col008_meridianpolice_035.jpg,objects/small/col008_meridianpolice_035_sm.jpg,objects/thumbs/col008_meridianpolice_035_th.jpg
col008_mp_36,"""Two Wheels for Easter Seals"" ",Meridian Times,1969-03,Delta Sigma Phi fraternity members from University of Idaho with Meridian Chamber of Commerce President John Fitzgerald and Police Chief Gene Hiner. Fraternity members perform yearly 400 mile bike ride from Moscow to Boise to publicize Idaho Easter Seal campaign. Fitzgerald and Hiner rode last few miles into Meridian with Meridian attorney Ivar J. Longetig behind Hiner.,Police forces; Police officers; Police service; Policemen; suburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",image,Image;StillImage,image/jpeg,eng,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,col008_meridianpolice_036.jpg,col008_meridianpolice_036,objects/col008_meridianpolice_036.jpg,objects/small/col008_meridianpolice_036_sm.jpg,objects/thumbs/col008_meridianpolice_036_th.jpg
